start_date,end_date,label,total_email,brand
03/10/2021,03/10/2021,github_device_verification,0,faysal3767
03/10/2021,03/10/2021,google_policy,0,faysal3767
04/10/2021,04/10/2021,google_security_alert,1,faysal3767
04/10/2021,04/10/2021,github_account_deletion,1,faysal3767
04/10/2021,04/10/2021,google_2_steps_verification,1,faysal3767
04/10/2021,04/10/2021,github_device_verification,1,faysal3767
04/10/2021,04/10/2021,google_policy,0,faysal3767
05/10/2021,05/10/2021,google_security_alert,0,faysal3767
05/10/2021,05/10/2021,github_account_deletion,0,faysal3767
05/10/2021,05/10/2021,google_2_steps_verification,0,faysal3767
05/10/2021,05/10/2021,github_device_verification,0,faysal3767
05/10/2021,05/10/2021,google_policy,0,faysal3767
